id;rating;comment;review_date
1;1;../fake-data/blob/hipster.txt;2026-09-02T19:55:05
2;2;../fake-data/blob/hipster.txt;2026-09-02T15:52:46
3;2;../fake-data/blob/hipster.txt;2026-09-03T11:30:18
4;1;../fake-data/blob/hipster.txt;2026-09-03T06:12:49
5;3;../fake-data/blob/hipster.txt;2026-09-03T13:00:25
6;4;../fake-data/blob/hipster.txt;2026-09-03T05:43:16
7;3;../fake-data/blob/hipster.txt;2026-09-03T13:10:04
8;5;../fake-data/blob/hipster.txt;2026-09-03T09:52:30
9;4;../fake-data/blob/hipster.txt;2026-09-02T16:32:50
10;3;../fake-data/blob/hipster.txt;2026-09-02T15:13:28
11;4;../fake-data/blob/hipster.txt;2026-09-03T03:52:12
12;4;../fake-data/blob/hipster.txt;2026-09-03T01:11:42
13;3;../fake-data/blob/hipster.txt;2026-09-03T01:34:36
14;1;../fake-data/blob/hipster.txt;2026-09-03T06:44:51
15;5;../fake-data/blob/hipster.txt;2026-09-03T12:41:13
16;2;../fake-data/blob/hipster.txt;2026-09-03T12:22:55
17;2;../fake-data/blob/hipster.txt;2026-09-03T00:34:09
18;4;../fake-data/blob/hipster.txt;2026-09-03T06:01:07
19;3;../fake-data/blob/hipster.txt;2026-09-03T00:25:46
20;3;../fake-data/blob/hipster.txt;2026-09-02T15:34:55
21;2;../fake-data/blob/hipster.txt;2026-09-03T08:01:51
22;4;../fake-data/blob/hipster.txt;2026-09-02T22:25:17
23;2;../fake-data/blob/hipster.txt;2026-09-02T21:08:17
24;2;../fake-data/blob/hipster.txt;2026-09-03T13:11:40
25;1;../fake-data/blob/hipster.txt;2026-09-02T17:38:06
26;3;../fake-data/blob/hipster.txt;2026-09-03T11:47:40
27;3;../fake-data/blob/hipster.txt;2026-09-03T04:36:48
28;1;../fake-data/blob/hipster.txt;2026-09-03T02:47:05
29;2;../fake-data/blob/hipster.txt;2026-09-02T20:50:41
30;1;../fake-data/blob/hipster.txt;2026-09-03T09:23:42
